A,B,C,D,E
0.6778072202794448,0.6003579292515867,0.26886040373793596,0.7290127782520285,0.38379772158818604
0.6967711816298389,0.560947827780301,0.2583317860938511,0.8014635372382233,0.4315372074696349
0.6762824416400725,0.5818461014940942,0.2568241026879239,0.7492678523030334,0.37357173902918905
0.7557282986777236,0.6533979092000788,0.2849690033252794,0.746718615710758,0.3915137361723118
0.716612296534507,0.571585536196829,0.2694715771714698,0.7708122351337773,0.4286833415214352
0.7245934990065548,0.6067875394726375,0.15918202528638015,0.8439700475677648,0.3879760453039216
0.7241973547919485,0.6084080597910912,0.15761012294295368,0.8449829348297426,0.390679354127241
0.722645444346062,0.6078557155691068,0.15986337866060318,0.8455629059364973,0.39134742467475536
0.7227766369008198,0.6073968267102055,0.15964252504422244,0.8424879175744815,0.3911610924693279
0.7266589959341854,0.6077880176936937,0.15448579670245927,0.8474492447041215,0.3894114836196101
